"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Wyższa Szkoła Ekologii i Zarządzania w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",11,"0,0%",0,"27,3%",3
"Wyższa Szkoła Gospodarki w Bydgoszczy(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Gospodarki w Bydgoszczy(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: ukraiński",0,"",0,"",0
"Wyższa Szkoła Informatyki i Umiejętności z siedzibą w Łodzi(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Wyższa Szkoła Informatyki i Umiejętności z siedzibą w Łodzi(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",131,"7,6%",10,"54,2%",71
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: angielski",108,"19,4%",21,"93,5%",101
"Wyższa Szkoła Informatyki i Zarządzania „COPERNICUS” we Wrocławiu w likwidacji",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",107,"17,8%",19,"78,5%",84
"Wyższa Szkoła Technologii Informatycznych w Katowicach(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",26,"23,1%",6,"0,0%",0
"Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",15,"13,3%",2,"93,3%",14
"Wyższa Szkoła Zarządzania ""Edukacja"" we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Zarządzania i Bankowości w Krakowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Wyższa Szkoła Zarządzania i Bankowości w Krakowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",50,"20,0%",10,"40,0%",20
"Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",21,"28,6%",6,"28,6%",6
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",293,"13,7%",40,"10,2%",30
